Timestamp,HR,SDNN,RMSSD
1722787020.0,71,,
1722787024.0,74,,
1722787026.0,77,1.0,2.0
1722787029.0,74,0.8165,1.5811
1722787035.0,71,1.479,2.1602
1722787041.0,68,1.6,1.8708
1722787051.0,71,2.6087,2.4495
1722787067.0,68,4.4949,3.3166
1722787088.0,75,6.3246,3.6056
1722787095.0,72,5.9815,5.9896
1722787097.0,68,5.9841,5.8878
1722787103.0,72,5.7266,5.7271
1722787104.0,72,5.7735,5.6649
1722787108.0,67,5.6043,5.4924
1722787138.0,70,8.0597,8.9357
1722787140.0,73,7.9498,11.408
1722787145.0,70,7.7316,11.0484
1722787175.0,67,9.1387,12.3895
1722787181.0,70,8.9099,13.3549
1722787189.0,73,8.6748,12.9872
1722787220.0,76,9.7314,13.6979
1722787226.0,73,9.535,14.4741
1722787229.0,70,9.4231,14.1405
1722787242.0,74,9.2436,13.9789
1722787246.0,77,9.1192,13.7998
1722787260.0,74,8.98,13.6626
1722787270.0,71,8.8059,13.4104
1722787286.0,74,8.725,13.2026
1722787292.0,71,8.5976,13.0979
1722787294.0,68,8.5645,12.8841
1722787298.0,71,8.4772,12.6655
1722787318.0,68,8.5522,12.7906
1722787322.0,72,8.474,12.9066
1722787325.0,75,8.4173,12.7046
1722787340.0,72,8.3494,12.6838
1722787347.0,75,8.2391,12.571
1722787374.0,72,8.6265,12.843
1722787408.0,75,9.3682,12.717
1722787411.0,78,9.3215,13.5397
1722787413.0,81,9.294,13.3614
1722787416.0,76,9.2434,13.1899
1722787417.0,73,9.2326,13.0279
1722787418.0,73,9.2176,12.868
1722787423.0,76,9.1347,12.7289
1722787433.0,79,9.0308,12.6031
1722787440.0,83,8.9368,12.4672
1722787445.0,86,8.8617,12.3315
1722787447.0,89,8.8289,12.2048
1722787455.0,86,8.7379,12.1059
1722787456.0,78,8.7231,12.0217
1722787457.0,70,8.7059,11.8984
1722787458.0,67,8.6867,11.7788
1722787459.0,67,8.6656,11.6627
1722787472.0,70,8.6058,11.6693
1722787480.0,74,8.5261,11.5791
1722787494.0,71,8.4799,11.5004
1722787510.0,68,8.4605,11.3986
1722787528.0,71,8.4734,11.2995
1722787531.0,75,8.4353,11.3748
1722787537.0,72,8.3713,11.2832
1722787539.0,76,8.3463,11.1993
1722787542.0,69,8.3086,11.1063
1722787549.0,66,8.2437,11.0268
1722787559.0,69,8.1801,10.9441
1722787582.0,66,8.3113,10.9798
1722787590.0,69,8.2476,11.0538
1722787603.0,72,8.2012,10.986
1722787605.0,75,8.1819,10.9862
1722787616.0,78,8.1261,10.9592
1722787629.0,75,8.0828,10.881
1722787631.0,71,8.0657,10.8828
1722787637.0,68,8.0151,10.8153
1722787644.0,75,7.9617,10.7396
1722787650.0,76,7.9131,10.6654
